Time,sCPU,cCost,sFreq,bCPU,bUtil,bFreq,Mem,mCost,mFreq,GPU,gCost,gFreq
1700420965.794374677,sCPU,83,1400000,bCPU,0,2000000,Mem,22,825000000,GPU,22,600000000
1700420965.948069198,sCPU,88,1400000,bCPU,0,2000000,Mem,30,825000000,GPU,40,600000000
1700420966.102695368,sCPU,88,1400000,bCPU,0,2000000,Mem,10,825000000,GPU,0,600000000
1700420966.256264093,sCPU,39,1400000,bCPU,0,2000000,Mem,11,825000000,GPU,0,600000000
1700420966.408212067,sCPU,78,1400000,bCPU,0,2000000,Mem,10,825000000,GPU,0,600000000
1700420966.560238377,sCPU,100,1400000,bCPU,0,2000000,Mem,9,825000000,GPU,0,600000000
1700420966.711943219,sCPU,100,1400000,bCPU,0,2000000,Mem,9,825000000,GPU,0,600000000
1700420966.864121574,sCPU,100,1400000,bCPU,0,2000000,Mem,8,825000000,GPU,0,600000000
1700420967.018095727,sCPU,87,1400000,bCPU,0,2000000,Mem,27,825000000,GPU,31,600000000
1700420967.171548532,sCPU,87,1400000,bCPU,0,2000000,Mem,29,825000000,GPU,39,600000000
1700420967.325650604,sCPU,53,1400000,bCPU,0,2000000,Mem,10,825000000,GPU,0,600000000
1700420967.481628976,sCPU,37,1400000,bCPU,0,2000000,Mem,11,825000000,GPU,0,600000000
1700420967.633976043,sCPU,62,1400000,bCPU,0,2000000,Mem,9,825000000,GPU,0,600000000
1700420967.786340820,sCPU,100,1400000,bCPU,0,2000000,Mem,9,825000000,GPU,0,600000000
1700420967.938249626,sCPU,100,1400000,bCPU,0,2000000,Mem,8,825000000,GPU,0,600000000
1700420968.090263476,sCPU,100,1400000,bCPU,0,2000000,Mem,9,825000000,GPU,15,600000000
1700420968.243410439,sCPU,86,1400000,bCPU,0,2000000,Mem,30,825000000,GPU,41,600000000
1700420968.396320313,sCPU,87,1400000,bCPU,0,2000000,Mem,30,825000000,GPU,41,600000000
1700420968.551306950,sCPU,25,1400000,bCPU,0,2000000,Mem,9,825000000,GPU,0,600000000
1700420968.735832242,sCPU,0,1400000,bCPU,0,2000000,Mem,8,825000000,GPU,0,600000000
1700420968.919557721,sCPU,25,1400000,bCPU,0,2000000,Mem,8,825000000,GPU,0,600000000
1700420969.100827761,sCPU,26,1400000,bCPU,0,2000000,Mem,8,825000000,GPU,0,600000000
