Time,sCPU,cCost,sFreq,bCPU,bUtil,bFreq,Mem,mCost,mFreq,GPU,gCost,gFreq
1700423020.148768431,sCPU,100,1400000,bCPU,0,2000000,Mem,10,825000000,GPU,0,600000000
1700423020.303210231,sCPU,98,1400000,bCPU,0,2000000,Mem,13,825000000,GPU,0,600000000
1700423020.457500071,sCPU,25,1400000,bCPU,0,2000000,Mem,9,825000000,GPU,63,600000000
1700423020.611681951,sCPU,2,1400000,bCPU,0,2000000,Mem,7,825000000,GPU,100,600000000
1700423020.799115044,sCPU,50,1400000,bCPU,0,2000000,Mem,6,825000000,GPU,71,600000000
1700423020.955073118,sCPU,100,1400000,bCPU,0,2000000,Mem,9,825000000,GPU,0,600000000
1700423021.111817411,sCPU,99,1400000,bCPU,0,2000000,Mem,14,825000000,GPU,0,600000000
1700423021.267754068,sCPU,24,1400000,bCPU,0,2000000,Mem,10,825000000,GPU,79,600000000
1700423021.422913421,sCPU,2,1400000,bCPU,0,2000000,Mem,9,825000000,GPU,100,600000000
1700423021.605341480,sCPU,50,1400000,bCPU,0,2000000,Mem,9,825000000,GPU,100,600000000
1700423021.761042216,sCPU,100,1400000,bCPU,0,2000000,Mem,8,825000000,GPU,0,600000000
1700423021.915867731,sCPU,96,1400000,bCPU,0,2000000,Mem,14,825000000,GPU,0,600000000
1700423022.070092528,sCPU,24,1400000,bCPU,0,2000000,Mem,10,825000000,GPU,82,600000000
1700423022.224165281,sCPU,1,1400000,bCPU,0,2000000,Mem,8,825000000,GPU,100,600000000
1700423022.406272002,sCPU,50,1400000,bCPU,0,2000000,Mem,6,825000000,GPU,85,600000000
1700423022.561813152,sCPU,100,1400000,bCPU,0,2000000,Mem,11,825000000,GPU,0,600000000
1700423022.716803086,sCPU,95,1400000,bCPU,0,2000000,Mem,7,825000000,GPU,0,600000000
1700423022.871283596,sCPU,30,1400000,bCPU,0,2000000,Mem,11,825000000,GPU,95,600000000
1700423023.025733271,sCPU,2,1400000,bCPU,0,2000000,Mem,9,825000000,GPU,100,600000000
1700423023.208805339,sCPU,40,1400000,bCPU,0,2000000,Mem,5,825000000,GPU,100,600000000
1700423023.364313865,sCPU,85,1400000,bCPU,0,2000000,Mem,11,825000000,GPU,0,600000000
1700423023.519689013,sCPU,76,1400000,bCPU,0,2000000,Mem,14,825000000,GPU,0,600000000
1700423023.675194996,sCPU,3,1400000,bCPU,0,2000000,Mem,14,825000000,GPU,0,600000000
